y_pred,y_true
0.68213224,0
0.6786875,0
0.6866307,0
0.6803219,0
0.6870112,0
0.67769015,0
0.69628036,0
0.6728379,0
0.68016917,0
0.6908817,0
0.6884112,0
0.6814516,0
0.6790727,0
0.6835853,0
0.69141746,0
0.69918436,0
0.6936699,0
0.69211864,0
0.68054736,0
0.6924427,0
0.69506186,0
0.6944263,0
0.6833306,0
0.68910646,0
0.6718591,0
0.68718827,0
0.68367714,0
0.6804948,0
0.68576616,0
0.68223166,0
0.6786016,0
0.70862424,0
0.6841669,0
0.6852546,0
0.69905496,0
0.6962747,0
0.6858975,0
0.6820753,0
0.700496,0
0.69376457,0
0.68789524,0
0.6917836,0
0.69934857,0
0.6933022,0
0.6943179,0
0.7009489,0
0.70152956,0
0.7006978,0
0.6740087,0
0.6915602,0
0.6941266,0
0.6864672,0
0.6788878,0
0.6828745,0
0.68422526,0
0.6829897,0
0.6908111,0
0.6887517,0
0.69615984,0
0.6786651,0
0.6808683,0
0.67686653,0
0.6755887,0
0.6812146,0
0.6996704,0
0.6902443,0
0.6890558,0
0.6879731,0
0.68872494,0
0.6865545,0
0.70309937,0
0.70149344,0
0.6923886,0
0.683513,0
0.6927441,0
0.6846307,0
0.6942282,0
0.69349396,0
0.6964947,0
0.68372965,0
0.7007309,0
0.69109,0
0.68285614,0
0.6824147,0
0.69451797,0
0.69905204,0
0.68832684,0
0.6880552,0
0.67305887,0
0.6774869,0
0.67882144,0
0.6838778,0
0.6831507,0
0.69722784,0
0.704051,0
0.6989585,0
0.70174015,0
0.68847966,0
0.6944586,0
0.6954297,0
0.7040631,0
0.69404507,0
0.70366913,0
0.6947849,0
0.6870486,0
0.6877037,0
0.681568,0
0.6948494,0
0.69490874,0
0.6908118,0
0.69975483,0
0.69654477,0
0.6860161,0
0.68835187,0
0.69918215,0
0.7025756,0
0.68896425,0
0.6953721,0
0.69376963,0
0.6824294,0
0.6800182,0
0.67900515,0
0.69456935,0
0.67832226,0
0.68337166,0
0.6929089,1
0.6935117,1
0.6995606,1
0.6785876,1
0.71513397,1
0.70849097,1
0.6785905,1
0.6990297,1
0.69580394,1
0.7048814,1
0.70431197,1
0.69964224,1
0.71613973,1
0.68723106,1
0.7068194,1
0.70324796,1
0.6999868,1
0.6835666,1
0.6882658,1
0.6897285,1
0.6867706,1
0.6950878,1
0.6890944,1
0.6832132,1
0.6893712,1
0.68695635,0
0.6769266,1
0.67724234,1
0.69218665,1
0.68782,1
0.68003654,1
0.6662736,1
0.7065742,1
0.6924641,1
0.70404565,1
0.69405633,1
0.69647706,1
0.6968379,1
0.70409954,1
0.70927995,1
0.7035279,1
0.6896358,1
0.70981747,1
0.708097,1
0.70420337,1
0.6855361,1
0.7060693,1
0.6970281,1
0.68898004,1
0.6915958,1
0.68051684,1
0.6802717,1
0.6977375,1
0.69596916,1
0.69463986,1
0.6859355,1
0.69736266,1
0.67794394,1
0.6834339,1
0.68231726,1
0.679116,1
0.67664576,1
0.69196093,1
0.70145106,1
0.6910311,1
0.7016324,1
0.6877759,1
0.6784426,1
0.6880101,1
0.686705,1
0.6906308,1
0.6947281,1
0.68353415,1
0.6861998,1
0.6739447,1
0.7031076,1
0.6985299,1
0.6863333,1
0.698705,1
0.6999395,1
0.6900413,1
0.6983703,1
0.68554044,1
0.7058162,1
0.69825876,1
0.7185106,1
0.69654924,1
0.7066318,1
0.67436135,1
0.6993192,1
0.701882,1
0.68422586,1
0.7076246,1
0.70349824,1
0.70224196,1
0.6927283,1
0.7149203,1
0.69117653,1
0.6845177,1
0.68366796,1
0.68444395,1
0.6839788,1
0.69070137,1
0.6730996,1
0.6835808,1
0.6920813,1
0.69068295,1
0.71776974,1
0.696033,1
0.6969535,1
0.69346917,1
0.70493823,1
0.694313,1
0.69410527,1
0.690819,1
0.6850434,1
0.6865351,1
0.6847992,1
0.69896364,1
0.69706,1
0.6810052,1
0.6961558,1
0.6935128,1
0.68988377,1
0.6986633,1
0.6917824,0
0.6948701,0
0.69249964,1
0.7140803,1
0.691488,1
0.7033272,0
0.6961612,0
0.6959705,0
0.7187608,0
0.7134937,0
0.7041091,0
0.6991506,0
0.69483614,0
0.7023072,0
0.6866256,0
0.6912448,0
0.7064622,0
0.7089082,0
0.71020377,0
0.69656825,0
0.695894,0
0.70163023,0
0.69867533,0
0.7006619,0
0.6933965,0
0.69665927,0
0.71998525,0
0.7030432,0
0.7026851,0
0.6977576,0
0.69577,0
0.70329225,0
0.7132834,0
0.7042451,0
0.71223193,0
0.7051904,0
0.7004936,0
0.71142215,0
0.69423854,0
0.70141363,0
0.6972768,0
0.71343553,0
0.69884205,0
0.6937603,0
0.7143543,0
0.71756446,0
0.7160784,0
0.7082322,0
0.71489877,0
0.70851016,0
0.7051393,0
0.6986847,0
0.70915806,0
0.71730465,0
0.7089006,0
0.7146661,0
0.69674325,0
0.7121306,0
0.72314304,0
0.6972754,0
0.71940726,0
0.7235526,0
0.7076438,0
0.7084509,0
0.6960751,0
0.7041254,0
0.7170229,0
0.7126704,0
0.7132227,0
0.7055848,0
0.70595324,0
0.7167878,0
0.7167774,0
0.6992185,0
0.71809065,0
0.693193,0
0.70327604,0
0.6941078,0
0.7071695,0
0.69471455,0
0.69951606,1
0.7165646,1
0.7104117,1
0.7030631,1
0.70847946,1
0.69933844,1
0.704613,1
0.69901896,1
0.7274786,1
0.7047987,1
0.723433,1
0.7020554,1
0.70066094,1
0.69902813,1
0.71057576,1
0.7014834,1
0.72011584,1
0.69700766,1
0.7037027,1
0.70031154,1
0.7079717,1
0.6831587,1
0.6953689,1
0.70450455,1
0.7070943,1
0.692307,1
0.69443125,1
0.68628883,1
0.6808965,1
0.7118518,1
0.7165481,1
0.6904777,1
0.7118194,1
