y_pred,y_true
0.013374001,0
0.0010137856,0
0.0010749996,0
0.00864616,0
0.0046549737,0
0.0032093227,0
0.00065493584,0
0.0015570521,0
0.0013408363,0
0.002058804,0
0.0035028756,0
0.0029934049,0
0.0014412701,0
0.0012920499,0
0.003632456,0
0.018010825,0
0.0025951862,0
0.0060855746,0
0.0012007356,0
0.00094744563,0
0.0052491426,0
0.0018177629,0
0.0035856962,0
0.0012126863,0
0.0007674694,0
0.001963675,0
0.002251625,0
0.0031457245,0
0.00223279,0
0.0012711287,0
0.0008087456,0
0.0031868517,0
0.0013155043,0
0.0011141598,0
0.027820766,0
0.003894508,0
0.0010700226,0
0.0012925565,0
0.0041888356,0
0.010000467,0
0.001232624,0
0.0009920001,0
0.0014898777,0
0.0019069016,0
0.0010989308,0
0.0017666519,0
0.0015288889,0
0.0021098256,0
0.0016364157,0
0.0017783642,0
0.02078852,0
0.003227055,0
0.0020849109,0
0.0009442866,0
0.0033294857,0
0.0025802553,0
0.0026740432,0
0.021084577,0
0.0013195276,0
0.0028672218,0
0.0023718476,0
0.0007405281,0
0.0013415217,0
0.004620254,0
0.009732544,0
0.021231145,0
0.0025379062,0
0.0045723617,0
0.007604778,0
0.0036344528,0
0.0043341815,0
0.05151254,0
0.0014137328,0
0.011022866,0
0.00191167,0
0.012188435,0
0.016408741,0
0.0028091967,0
0.0032361746,0
0.001260519,0
0.0062453747,0
0.01527676,0
0.0014061928,0
0.00184834,0
0.0013042688,0
0.0019603372,0
0.0023638606,0
0.0010814667,0
0.02109459,0
0.017033398,0
0.0043922663,0
0.0019480884,0
0.001463443,0
0.0008482635,0
0.007019937,0
0.0018702447,0
0.04145664,0
0.0020953715,0
0.0013412535,0
0.0033457875,0
0.01447314,0
0.0009613633,0
0.0069155097,0
0.0009076297,0
0.005501598,0
0.0011555552,0
0.0019935071,0
0.0047958195,0
0.016773283,0
0.0034577847,0
0.0011916757,0
0.000965327,0
0.0354726,0
0.0018634796,0
0.0019402206,0
0.006754726,0
0.22692302,0
0.0034950972,0
0.0025161505,0
0.001621902,0
0.005983621,0
0.0011722445,0
0.002812624,0
0.0019788742,0
0.0016035438,0
0.99930286,1
0.9993174,1
0.9994426,1
0.99652565,1
0.9998228,1
0.9997086,1
0.9968391,1
0.9996251,1
0.9997549,1
0.9986494,1
0.99938035,1
0.99979746,1
0.99880993,1
0.9995202,1
0.99955714,1
0.9980508,1
0.9998238,1
0.9991691,1
0.99941933,1
0.99962115,1
0.99932015,1
0.99919665,1
0.99902964,1
0.9979528,1
0.99594426,1
0.0030746758,0
0.9989547,1
0.99929285,1
0.96834505,1
0.9996855,1
0.9991462,1
0.5761992,1
0.98978865,1
0.9973395,1
