tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,7500,0.25,0,0.7434614671968757,0.8303693570451436,0.7484586929716399
B,7500,0.25,0,0.5016030444220412,0.2763337893296854,0.6778523489932886
C,7500,0.25,1875,0.7501138433515483,0.8317373461012312,0.7552795031055901
C,7500,0.5,3750,0.7448887674098017,0.8331053351573188,0.7490774907749077
C,7500,0.75,5625,0.7483472739115079,0.8235294117647058,0.7562814070351759
C,7500,1.0,7500,0.7446107613459534,0.8358413132694938,0.7478580171358629
C,7500,1.5,11250,0.737176029035473,0.8166894664842681,0.74625
C,7500,2.0,15000,0.7363954926683534,0.8071135430916553,0.748730964467005
C,7500,3.0,22500,0.7262575257906558,0.8071135430916553,0.7375
C,7500,4.0,30000,0.7139896830464734,0.7770177838577291,0.7338501291989664
C,7500,5.0,37500,0.7162692624006979,0.7701778385772914,0.7388451443569554
C,7500,6.0,45000,0.7082943371351322,0.7660738714090287,0.7310704960835509
C,7500,7.0,52500,0.7076920554253854,0.7537619699042407,0.7346666666666667
C,7500,8.0,60000,0.6771982748462209,0.7482900136798906,0.7021822849807445
C,7500,9.0,67500,0.691518461859276,0.7291381668946648,0.7241847826086957
C,7500,10.0,75000,0.6969246861924687,0.7099863201094391,0.7382645803698435
