tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,2500,0.25,0,0.6674242424242425,0.7961696306429549,0.6822977725674091
B,2500,0.25,0,0.5848700964076035,0.4774281805745554,0.681640625
C,2500,0.25,625,0.703528839717981,0.8235294117647058,0.7099056603773585
C,2500,0.5,1250,0.7078386172706141,0.8372093023255814,0.710801393728223
C,2500,0.75,1875,0.730767144760094,0.8290013679890561,0.7354368932038835
C,2500,1.0,2500,0.7328931859070107,0.8331053351573188,0.7363966142684402
C,2500,1.5,3750,0.7111292383826848,0.8454172366621067,0.7119815668202765
C,2500,2.0,5000,0.7283817878698726,0.8194254445964432,0.7358722358722358
C,2500,3.0,7500,0.7038492063492063,0.8276333789329685,0.7092614302461899
C,2500,4.0,10000,0.698417463195163,0.7879616963064295,0.7137546468401487
C,2500,5.0,12500,0.6901766610281515,0.761969904240766,0.7122762148337596
C,2500,6.0,15000,0.669561723453014,0.7879616963064295,0.6857142857142857
C,2500,7.0,17500,0.6930760140955778,0.7496580027359782,0.7191601049868767
C,2500,8.0,20000,0.6717178130511464,0.7359781121751026,0.6996098829648895
C,2500,9.0,22500,0.684462632145012,0.7140902872777017,0.7209944751381215
C,2500,10.0,25000,0.661579541264929,0.7277701778385773,0.6909090909090909
