y_pred,y_true
0.1628572,0
0.007351041,0
0.98190415,1
0.83131266,1
0.72764754,1
0.98318565,1
0.14196765,0
0.9874481,1
0.9724926,1
0.058977842,0
0.7823738,0
0.77421576,0
0.9627584,1
0.28460017,0
0.7000668,1
0.9726294,1
0.7050034,0
0.5647245,0
0.0030438602,0
0.38598883,0
0.012710482,1
0.9974937,1
0.014756262,0
0.9153229,1
0.16844559,0
0.7399419,0
0.80329144,1
0.9661392,1
0.9972714,1
0.0065964162,0
0.0030644834,0
0.99340975,1
0.74780595,1
0.80522645,0
0.045485914,0
0.75539696,1
0.865018,0
0.9975291,1
0.9902636,1
0.88185287,1
0.9169606,1
0.9146323,1
0.98702884,1
0.11844975,0
0.99538577,1
0.9402633,1
0.001640737,0
0.99747235,1
0.015594095,0
0.0026575327,0
0.93232787,1
0.006403506,0
0.00094532967,0
0.98684216,1
0.9876206,1
0.99267316,1
0.79273576,1
0.8464063,1
0.93583286,1
0.07060635,0
0.022271931,0
0.8997561,1
0.95699525,1
0.9689816,1
0.99187124,1
0.60742396,1
0.97415483,1
0.95858514,1
0.99587464,1
0.996091,1
0.9530252,1
0.0035487711,0
0.06224811,0
0.17736593,0
0.5397051,0
0.21324599,0
0.6826041,0
0.15521035,0
0.996994,1
0.0024344325,0
0.17149031,0
0.0022838116,0
0.91057014,0
0.87550104,1
0.9913615,1
0.9934962,1
0.8319039,1
0.9761571,1
0.47265023,1
0.9169121,1
0.0030440092,0
0.08677614,0
0.079877466,0
0.97166955,1
0.99669874,1
0.8467109,1
0.16520658,0
0.02535507,0
0.85149884,1
0.9636652,1
0.97145724,1
0.9949515,1
0.67478204,1
0.84531087,1
0.6583481,0
0.872736,1
0.9928316,1
0.9248672,1
0.80449665,1
0.97086316,1
0.9976724,1
0.9862056,1
0.7586478,1
0.981661,1
0.9760996,1
0.9244733,1
0.07177979,0
0.9917306,1
0.99767995,1
0.65931666,0
0.77586246,1
0.034597576,0
0.98773015,1
0.7272889,1
0.96489865,1
0.0043807924,0
0.9527853,1
0.043383867,0
0.009212375,0
0.005057752,0
0.12408471,0
0.027617395,0
0.9671811,1
0.40491414,0
0.0022111833,0
0.99699533,1
0.015580177,0
0.9677932,1
0.004561603,0
0.838234,1
0.3457195,1
0.018515944,0
0.9874597,1
0.0030542314,0
0.22347733,1
0.0009914339,0
0.9977474,1
0.99701405,1
0.0129161775,0
0.9752276,1
0.9119786,1
0.99584115,1
0.74075407,1
0.026233077,1
0.98679715,1
0.99669224,1
0.99775386,1
0.99760354,1
0.9966122,1
0.9802079,1
0.99683344,1
0.7756771,1
0.99759114,1
0.90886223,1
0.0030108988,0
0.9977573,1
0.7335713,1
0.97775644,0
0.9933504,1
0.8436918,1
0.23797068,1
0.1866672,0
0.9020225,1
0.009162009,0
0.005261779,0
0.99460995,1
0.9950472,1
0.82159185,0
0.5743587,1
0.99469244,1
0.00076553226,0
0.41778773,0
0.010022819,0
0.9977089,1
0.73941326,0
0.8259032,1
0.96399546,1
0.92340696,1
0.0008279383,0
0.62461895,1
0.41618845,1
0.016527563,0
0.26179162,1
0.9543016,1
0.87157106,1
0.79032075,1
0.9930738,1
0.14045155,0
0.9775135,1
0.029636174,0
0.0018358529,0
0.13964301,1
0.9750342,1
0.9850663,1
0.9730422,1
0.9864983,1
0.3103079,0
0.79506737,1
0.9980152,1
0.9923625,1
0.0013296902,0
0.0018257201,0
0.75685894,1
0.97699594,1
0.023736268,0
0.004886389,0
0.9845592,1
0.59645045,1
0.9965715,1
0.787043,0
0.9869475,1
0.8648534,1
0.90072584,1
0.007846415,0
0.9531995,1
0.9045664,1
0.69752944,1
0.99747324,1
0.03164798,0
0.5953485,0
0.9969188,1
0.02230078,0
0.887247,1
0.9361326,0
0.066413224,0
0.0050913095,0
0.2873528,1
0.99597394,1
0.9185394,1
0.9725175,1
0.98014647,1
0.9731294,1
0.11746237,1
0.002508819,0
0.06698313,0
0.029392958,0
0.8689305,0
0.005823821,0
0.8602452,1
0.9910923,1
0.7458667,1
0.1714871,0
0.003098458,0
0.4369166,1
0.9971795,1
0.09708521,0
0.012331516,0
0.4331677,0
0.042945027,0
0.003181219,0
0.17382309,0
0.3775736,0
0.8384837,1
0.9414396,1
0.8800568,1
0.99172395,1
0.9960719,1
0.4514661,1
0.011484563,0
0.09665766,0
0.0464828,0
0.7224465,1
0.17774463,0
0.97139025,1
0.0088272095,0
0.0054711103,0
0.08957702,0
0.79860425,0
0.98368955,1
0.9112462,1
0.21656707,0
0.9885882,1
0.06532532,0
0.0666002,0
0.09972176,0
0.006483406,0
0.99695015,1
0.9928037,1
0.89411646,1
0.8694782,0
0.002213329,0
0.006014347,0
0.42472082,0
0.9911447,1
0.9969698,1
0.00072848797,0
0.13011512,0
0.0050332844,0
0.01401633,0
0.9872095,1
0.7562847,1
0.91421175,1
0.9225967,1
0.08663261,1
0.012943417,0
0.49342662,0
0.0902693,0
0.8455033,1
0.99491143,1
0.4761143,0
0.95397913,1
0.0076648295,0
0.027459204,0
0.0029279292,0
0.18986505,0
0.09069228,0
0.008911282,0
0.012979448,0
0.01691398,0
0.8348036,0
0.57318264,0
0.99312055,1
0.0024327934,0
0.30288318,0
0.9535537,0
0.4793554,0
0.969629,1
0.38540906,0
0.6385811,0
0.9809691,1
0.3751207,1
0.28186566,0
0.0010439754,0
0.98976684,1
0.9311507,0
0.9912106,1
0.99644876,1
0.9480459,1
0.007132083,0
0.99663216,1
0.9308019,1
0.23382562,0
0.86356926,1
0.9896413,1
0.84242666,1
0.011633158,0
0.56408036,1
0.3142797,1
0.00359115,0
0.27521545,0
0.9965312,1
0.044594795,0
0.064664304,0
