tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,500,0.25,0,0.4693263714747003,0.6382222222222222,0.45356917245735945
B,500,0.25,0,0.480727148121821,0.6311111111111111,0.45984455958549225
C,500,0.25,125,0.464525326033126,0.6391111111111111,0.4507836990595611
C,500,0.5,250,0.4649964640287788,0.6391111111111111,0.4510664993726474
C,500,0.75,375,0.4689917771737637,0.6328888888888888,0.452638270820089
C,500,1.0,500,0.48006508855996693,0.6284444444444445,0.4590909090909091
C,500,1.5,750,0.4679602410912551,0.6337777777777778,0.45212428662016485
C,500,2.0,1000,0.47158980172771126,0.6346666666666667,0.45448758752387014
C,500,3.0,1500,0.4705234046030702,0.648,0.455625
C,500,4.0,2000,0.47131015112455465,0.6568888888888889,0.4573019801980198
C,500,5.0,2500,0.4649765871380854,0.6613333333333333,0.4542124542124542
C,500,6.0,3000,0.4643491841939359,0.6657777777777778,0.4544902912621359
C,500,7.0,3500,0.4625056619141218,0.6684444444444444,0.45383222691611347
C,500,8.0,4000,0.4746637848222863,0.6782222222222222,0.46214415505754086
C,500,9.0,4500,0.49037046354244906,0.7004444444444444,0.4741275571600481
C,500,10.0,5000,0.47815111758989304,0.6942222222222222,0.46626865671641793
